DEBUG 2012-03-12 11:07:27,991 [unknown_RequestHandler_7af70000_addTopic] - start_requestHandler
INFO  2012-03-12 11:07:28,242 [uva.arrm_RequestHandler_7af70006_isAvailable] - duration_serializer_1 3ms
INFO  2012-03-12 11:07:28,242 [uva.arrm_RequestHandler_7af70006_isAvailable] - duration_validator 0ms
INFO  2012-03-12 11:07:28,244 [uva.arrm_RequestHandler_7af70006_isAvailable] - duration_processing 2ms
INFO  2012-03-12 11:07:28,244 [uva.arrm_RequestHandler_7af70006_isAvailable] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,248 [uva.arrm_RequestHandler_7af70006_isAvailable] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,248 [uva.arrm_RequestHandler_7af70006_isAvailable] - duration_requestHandler 9ms
DEBUG 2012-03-12 11:07:28,255 [uva.arrm_RequestHandler_7af70007_createReservation] - start_requestHandler
INFO  2012-03-12 11:07:28,259 [uva.arrm_RequestHandler_7af70007_createReservation] - duration_serializer_1 4ms
INFO  2012-03-12 11:07:28,260 [uva.arrm_RequestHandler_7af70007_createReservation] - duration_validator 1ms
INFO  2012-03-12 11:07:28,262 [uva.arrm_RequestHandler_7af70007_createReservation] - duration_processing 2ms
INFO  2012-03-12 11:07:28,262 [uva.arrm_RequestHandler_7af70007_createReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,265 [uva.arrm_RequestHandler_7af70007_createReservation] - duration_serializer_2 3ms
INFO  2012-03-12 11:07:28,265 [uva.arrm_RequestHandler_7af70007_createReservation] - duration_requestHandler 10ms
DEBUG 2012-03-12 11:07:28,270 [uva.arrm_RequestHandler_7af70008_getStatus] - start_requestHandler
INFO  2012-03-12 11:07:28,272 [uva.arrm_RequestHandler_7af70008_getStatus] - duration_serializer_1 2ms
INFO  2012-03-12 11:07:28,272 [uva.arrm_RequestHandler_7af70008_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:07:28,272 [uva.arrm_RequestHandler_7af70008_getStatus] - duration_processing 0ms
INFO  2012-03-12 11:07:28,273 [uva.arrm_RequestHandler_7af70008_getStatus] - duration_reply_settype 1ms
INFO  2012-03-12 11:07:28,277 [uva.arrm_RequestHandler_7af70008_getStatus] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,277 [uva.arrm_RequestHandler_7af70008_getStatus] - duration_requestHandler 7ms
DEBUG 2012-03-12 11:07:28,285 [uva.arrm_RequestHandler_7af70009_cancelReservation] - start_requestHandler
INFO  2012-03-12 11:07:28,287 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_serializer_1 2ms
INFO  2012-03-12 11:07:28,287 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_validator 0ms
INFO  2012-03-12 11:07:28,288 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_processing 1ms
INFO  2012-03-12 11:07:28,288 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,291 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_serializer_2 3ms
INFO  2012-03-12 11:07:28,291 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_requestHandler 6ms
DEBUG 2012-03-12 11:07:28,294 [uva.arrm_RequestHandler_7af7000a_getStatus] - start_requestHandler
INFO  2012-03-12 11:07:28,295 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,295 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:07:28,295 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_processing 0ms
INFO  2012-03-12 11:07:28,296 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_reply_settype 1ms
INFO  2012-03-12 11:07:28,298 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_serializer_2 2ms
INFO  2012-03-12 11:07:28,298 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_requestHandler 4ms
DEBUG 2012-03-12 11:07:28,308 [uva.arrm_RequestHandler_7af7000b_getReservations] - start_requestHandler
INFO  2012-03-12 11:07:28,309 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,309 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_validator 0ms
INFO  2012-03-12 11:07:28,311 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_processing 2ms
INFO  2012-03-12 11:07:28,312 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_reply_settype 1ms
INFO  2012-03-12 11:07:28,316 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,316 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_requestHandler 8ms
DEBUG 2012-03-12 11:07:28,330 [uva.arrm_RequestHandler_7af7000c_bind] - start_requestHandler
INFO  2012-03-12 11:07:28,332 [uva.arrm_RequestHandler_7af7000c_bind] - duration_serializer_1 2ms
INFO  2012-03-12 11:07:28,332 [uva.arrm_RequestHandler_7af7000c_bind] - duration_validator 0ms
DEBUG 2012-03-12 11:07:28,373 [uva.arrm_RequestHandler_7af7000d_getDomains] - start_requestHandler
INFO  2012-03-12 11:07:28,374 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,374 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_validator 0ms
INFO  2012-03-12 11:07:28,375 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_processing 1ms
INFO  2012-03-12 11:07:28,375 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,378 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_serializer_2 3ms
INFO  2012-03-12 11:07:28,378 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_requestHandler 5ms
DEBUG 2012-03-12 11:07:28,383 [uva.arrm_RequestHandler_7af7000e_getEndpoints] - start_requestHandler
INFO  2012-03-12 11:07:28,384 [uva.arrm_RequestHandler_7af7000e_getEndpoints] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,385 [uva.arrm_RequestHandler_7af7000e_getEndpoints] - duration_validator 1ms
INFO  2012-03-12 11:07:28,385 [uva.arrm_RequestHandler_7af7000e_getEndpoints] - duration_processing 0ms
INFO  2012-03-12 11:07:28,385 [uva.arrm_RequestHandler_7af7000e_getEndpoints] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,389 [uva.arrm_RequestHandler_7af7000e_getEndpoints] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,389 [uva.arrm_RequestHandler_7af7000e_getEndpoints] - duration_requestHandler 6ms
DEBUG 2012-03-12 11:07:28,394 [uva.arrm_RequestHandler_7af7000f_getLinks] - start_requestHandler
INFO  2012-03-12 11:07:28,396 [uva.arrm_RequestHandler_7af7000f_getLinks] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,396 [uva.arrm_RequestHandler_7af7000f_getLinks] - duration_validator 0ms
INFO  2012-03-12 11:07:28,396 [uva.arrm_RequestHandler_7af7000f_getLinks] - duration_processing 0ms
INFO  2012-03-12 11:07:28,396 [uva.arrm_RequestHandler_7af7000f_getLinks] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,400 [uva.arrm_RequestHandler_7af7000f_getLinks] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,400 [uva.arrm_RequestHandler_7af7000f_getLinks] - duration_requestHandler 5ms
DEBUG 2012-03-12 11:07:28,415 [uva.arrm_RequestHandler_7af70010_isAvailable] - start_requestHandler
INFO  2012-03-12 11:07:28,419 [uva.arrm_RequestHandler_7af70010_isAvailable] - duration_serializer_1 4ms
INFO  2012-03-12 11:07:28,419 [uva.arrm_RequestHandler_7af70010_isAvailable] - duration_validator 0ms
INFO  2012-03-12 11:07:28,421 [uva.arrm_RequestHandler_7af70010_isAvailable] - duration_processing 2ms
INFO  2012-03-12 11:07:28,421 [uva.arrm_RequestHandler_7af70010_isAvailable] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,425 [uva.arrm_RequestHandler_7af70010_isAvailable] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,425 [uva.arrm_RequestHandler_7af70010_isAvailable] - duration_requestHandler 10ms
DEBUG 2012-03-12 11:07:28,434 [uva.arrm_RequestHandler_7af70011_createReservation] - start_requestHandler
INFO  2012-03-12 11:07:28,437 [uva.arrm_RequestHandler_7af70011_createReservation] - duration_serializer_1 3ms
INFO  2012-03-12 11:07:28,438 [uva.arrm_RequestHandler_7af70011_createReservation] - duration_validator 1ms
INFO  2012-03-12 11:07:28,440 [uva.arrm_RequestHandler_7af70011_createReservation] - duration_processing 2ms
INFO  2012-03-12 11:07:28,440 [uva.arrm_RequestHandler_7af70011_createReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,443 [uva.arrm_RequestHandler_7af70011_createReservation] - duration_serializer_2 3ms
INFO  2012-03-12 11:07:28,443 [uva.arrm_RequestHandler_7af70011_createReservation] - duration_requestHandler 9ms
DEBUG 2012-03-12 11:07:28,465 [uva.arrm_RequestHandler_7af70012_getReservations] - start_requestHandler
INFO  2012-03-12 11:07:28,467 [uva.arrm_RequestHandler_7af70012_getReservations] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,467 [uva.arrm_RequestHandler_7af70012_getReservations] - duration_validator 0ms
INFO  2012-03-12 11:07:28,469 [uva.arrm_RequestHandler_7af70012_getReservations] - duration_processing 2ms
INFO  2012-03-12 11:07:28,469 [uva.arrm_RequestHandler_7af70012_getReservations] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,476 [uva.arrm_RequestHandler_7af70012_getReservations] - duration_serializer_2 7ms
INFO  2012-03-12 11:07:28,476 [uva.arrm_RequestHandler_7af70012_getReservations] - duration_requestHandler 10ms
DEBUG 2012-03-12 11:07:28,489 [uva.arrm_RequestHandler_7af70013_getStatus] - start_requestHandler
INFO  2012-03-12 11:07:28,491 [uva.arrm_RequestHandler_7af70013_getStatus] - duration_serializer_1 2ms
INFO  2012-03-12 11:07:28,491 [uva.arrm_RequestHandler_7af70013_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:07:28,492 [uva.arrm_RequestHandler_7af70013_getStatus] - duration_processing 1ms
INFO  2012-03-12 11:07:28,492 [uva.arrm_RequestHandler_7af70013_getStatus] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,496 [uva.arrm_RequestHandler_7af70013_getStatus] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,496 [uva.arrm_RequestHandler_7af70013_getStatus] - duration_requestHandler 7ms
DEBUG 2012-03-12 11:07:28,503 [uva.arrm_RequestHandler_7af70014_cancelReservation] - start_requestHandler
INFO  2012-03-12 11:07:28,504 [uva.arrm_RequestHandler_7af70014_cancelReservation] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,504 [uva.arrm_RequestHandler_7af70014_cancelReservation] - duration_validator 0ms
INFO  2012-03-12 11:07:28,505 [uva.arrm_RequestHandler_7af70014_cancelReservation] - duration_processing 1ms
INFO  2012-03-12 11:07:28,505 [uva.arrm_RequestHandler_7af70014_cancelReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,508 [uva.arrm_RequestHandler_7af70014_cancelReservation] - duration_serializer_2 3ms
INFO  2012-03-12 11:07:28,508 [uva.arrm_RequestHandler_7af70014_cancelReservation] - duration_requestHandler 5ms
DEBUG 2012-03-12 11:07:28,513 [uva.arrm_RequestHandler_7af70015_getStatus] - start_requestHandler
INFO  2012-03-12 11:07:28,515 [uva.arrm_RequestHandler_7af70015_getStatus] - duration_serializer_1 2ms
INFO  2012-03-12 11:07:28,515 [uva.arrm_RequestHandler_7af70015_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:07:28,516 [uva.arrm_RequestHandler_7af70015_getStatus] - duration_processing 1ms
INFO  2012-03-12 11:07:28,516 [uva.arrm_RequestHandler_7af70015_getStatus] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,521 [uva.arrm_RequestHandler_7af70015_getStatus] - duration_serializer_2 5ms
INFO  2012-03-12 11:07:28,521 [uva.arrm_RequestHandler_7af70015_getStatus] - duration_requestHandler 8ms
DEBUG 2012-03-12 11:14:34,874 [unknown_RequestHandler_fe7a0000_addTopic] - start_requestHandler
INFO  2012-03-12 11:14:35,043 [unknown_RequestHandler_fe7a0000_addTopic] - duration_serializer_1 68ms
INFO  2012-03-12 11:14:35,044 [unknown_RequestHandler_fe7a0000_addTopic] - duration_validator 1ms
DEBUG 2012-03-12 11:14:35,101 [uva.arrm_RequestHandler_fe7a0001_isAvailable] - start_requestHandler
INFO  2012-03-12 11:14:35,105 [uva.arrm_RequestHandler_fe7a0001_isAvailable] - duration_serializer_1 4ms
INFO  2012-03-12 11:14:35,105 [uva.arrm_RequestHandler_fe7a0001_isAvailable] - duration_validator 0ms
INFO  2012-03-12 11:14:35,111 [uva.arrm_RequestHandler_fe7a0001_isAvailable] - duration_processing 6ms
INFO  2012-03-12 11:14:35,111 [uva.arrm_RequestHandler_fe7a0001_isAvailable] - duration_reply_settype 0ms
INFO  2012-03-12 11:14:35,114 [uva.arrm_RequestHandler_fe7a0001_isAvailable] - duration_serializer_2 3ms
INFO  2012-03-12 11:14:35,114 [uva.arrm_RequestHandler_fe7a0001_isAvailable] - duration_requestHandler 13ms
DEBUG 2012-03-12 11:14:35,123 [uva.arrm_RequestHandler_fe7a0002_createReservation] - start_requestHandler
INFO  2012-03-12 11:14:35,126 [uva.arrm_RequestHandler_fe7a0002_createReservation] - duration_serializer_1 3ms
INFO  2012-03-12 11:14:35,132 [uva.arrm_RequestHandler_fe7a0002_createReservation] - duration_validator 6ms
INFO  2012-03-12 11:14:35,134 [uva.arrm_RequestHandler_fe7a0002_createReservation] - duration_processing 2ms
INFO  2012-03-12 11:14:35,134 [uva.arrm_RequestHandler_fe7a0002_createReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:14:35,136 [uva.arrm_RequestHandler_fe7a0002_createReservation] - duration_serializer_2 2ms
INFO  2012-03-12 11:14:35,136 [uva.arrm_RequestHandler_fe7a0002_createReservation] - duration_requestHandler 13ms
DEBUG 2012-03-12 11:14:35,140 [uva.arrm_RequestHandler_fe7a0003_getStatus] - start_requestHandler
INFO  2012-03-12 11:14:35,141 [uva.arrm_RequestHandler_fe7a0003_getStatus] - duration_serializer_1 1ms
INFO  2012-03-12 11:14:35,141 [uva.arrm_RequestHandler_fe7a0003_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:14:35,142 [uva.arrm_RequestHandler_fe7a0003_getStatus] - duration_processing 1ms
INFO  2012-03-12 11:14:35,142 [uva.arrm_RequestHandler_fe7a0003_getStatus] - duration_reply_settype 0ms
INFO  2012-03-12 11:14:35,147 [uva.arrm_RequestHandler_fe7a0003_getStatus] - duration_serializer_2 5ms
INFO  2012-03-12 11:14:35,147 [uva.arrm_RequestHandler_fe7a0003_getStatus] - duration_requestHandler 7ms
DEBUG 2012-03-12 11:14:35,156 [uva.arrm_RequestHandler_fe7a0004_cancelReservation] - start_requestHandler
INFO  2012-03-12 11:14:35,158 [uva.arrm_RequestHandler_fe7a0004_cancelReservation] - duration_serializer_1 2ms
INFO  2012-03-12 11:14:35,158 [uva.arrm_RequestHandler_fe7a0004_cancelReservation] - duration_validator 0ms
INFO  2012-03-12 11:14:35,159 [uva.arrm_RequestHandler_fe7a0004_cancelReservation] - duration_processing 1ms
INFO  2012-03-12 11:14:35,159 [uva.arrm_RequestHandler_fe7a0004_cancelReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:14:35,163 [uva.arrm_RequestHandler_fe7a0004_cancelReservation] - duration_serializer_2 4ms
INFO  2012-03-12 11:14:35,163 [uva.arrm_RequestHandler_fe7a0004_cancelReservation] - duration_requestHandler 7ms
DEBUG 2012-03-12 11:14:35,167 [uva.arrm_RequestHandler_fe7a0005_getStatus] - start_requestHandler
INFO  2012-03-12 11:14:35,168 [uva.arrm_RequestHandler_fe7a0005_getStatus] - duration_serializer_1 1ms
INFO  2012-03-12 11:14:35,168 [uva.arrm_RequestHandler_fe7a0005_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:14:35,169 [uva.arrm_RequestHandler_fe7a0005_getStatus] - duration_processing 1ms
INFO  2012-03-12 11:14:35,169 [uva.arrm_RequestHandler_fe7a0005_getStatus] - duration_reply_settype 0ms
INFO  2012-03-12 11:14:35,172 [uva.arrm_RequestHandler_fe7a0005_getStatus] - duration_serializer_2 3ms
INFO  2012-03-12 11:14:35,172 [uva.arrm_RequestHandler_fe7a0005_getStatus] - duration_requestHandler 5ms
DEBUG 2012-03-12 11:14:35,182 [uva.arrm_RequestHandler_fe7a0006_isAvailable] - start_requestHandler
INFO  2012-03-12 11:14:35,185 [uva.arrm_RequestHandler_fe7a0006_isAvailable] - duration_serializer_1 3ms
INFO  2012-03-12 11:14:35,185 [uva.arrm_RequestHandler_fe7a0006_isAvailable] - duration_validator 0ms
INFO  2012-03-12 11:14:35,186 [uva.arrm_RequestHandler_fe7a0006_isAvailable] - duration_processing 1ms
INFO  2012-03-12 11:14:35,186 [uva.arrm_RequestHandler_fe7a0006_isAvailable] - duration_reply_settype 0ms
INFO  2012-03-12 11:14:35,190 [uva.arrm_RequestHandler_fe7a0006_isAvailable] - duration_serializer_2 4ms
INFO  2012-03-12 11:14:35,190 [uva.arrm_RequestHandler_fe7a0006_isAvailable] - duration_requestHandler 8ms
DEBUG 2012-03-12 11:14:35,198 [uva.arrm_RequestHandler_fe7a0007_createReservation] - start_requestHandler
INFO  2012-03-12 11:14:35,202 [uva.arrm_RequestHandler_fe7a0007_createReservation] - duration_serializer_1 4ms
INFO  2012-03-12 11:14:35,202 [uva.arrm_RequestHandler_fe7a0007_createReservation] - duration_validator 0ms
INFO  2012-03-12 11:14:35,204 [uva.arrm_RequestHandler_fe7a0007_createReservation] - duration_processing 2ms
INFO  2012-03-12 11:14:35,205 [uva.arrm_RequestHandler_fe7a0007_createReservation] - duration_reply_settype 1ms
INFO  2012-03-12 11:14:35,208 [uva.arrm_RequestHandler_fe7a0007_createReservation] - duration_serializer_2 3ms
INFO  2012-03-12 11:14:35,208 [uva.arrm_RequestHandler_fe7a0007_createReservation] - duration_requestHandler 10ms
DEBUG 2012-03-12 11:14:35,213 [uva.arrm_RequestHandler_fe7a0008_getStatus] - start_requestHandler
INFO  2012-03-12 11:14:35,214 [uva.arrm_RequestHandler_fe7a0008_getStatus] - duration_serializer_1 1ms
INFO  2012-03-12 11:14:35,214 [uva.arrm_RequestHandler_fe7a0008_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:14:35,215 [uva.arrm_RequestHandler_fe7a0008_getStatus] - duration_processing 1ms
INFO  2012-03-12 11:14:35,215 [uva.arrm_RequestHandler_fe7a0008_getStatus] - duration_reply_settype 0ms
INFO  2012-03-12 11:14:35,220 [uva.arrm_RequestHandler_fe7a0008_getStatus] - duration_serializer_2 5ms
INFO  2012-03-12 11:14:35,220 [uva.arrm_RequestHandler_fe7a0008_getStatus] - duration_requestHandler 7ms
DEBUG 2012-03-12 11:14:35,228 [uva.arrm_RequestHandler_fe7a0009_cancelReservation] - start_requestHandler
INFO  2012-03-12 11:14:35,229 [uva.arrm_RequestHandler_fe7a0009_cancelReservation] - duration_serializer_1 1ms
INFO  2012-03-12 11:14:35,229 [uva.arrm_RequestHandler_fe7a0009_cancelReservation] - duration_validator 0ms
INFO  2012-03-12 11:14:35,230 [uva.arrm_RequestHandler_fe7a0009_cancelReservation] - duration_processing 1ms
INFO  2012-03-12 11:14:35,230 [uva.arrm_RequestHandler_fe7a0009_cancelReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:14:35,232 [uva.arrm_RequestHandler_fe7a0009_cancelReservation] - duration_serializer_2 2ms
INFO  2012-03-12 11:14:35,232 [uva.arrm_RequestHandler_fe7a0009_cancelReservation] - duration_requestHandler 4ms
DEBUG 2012-03-12 11:14:35,235 [uva.arrm_RequestHandler_fe7a000a_getStatus] - start_requestHandler
INFO  2012-03-12 11:14:35,236 [uva.arrm_RequestHandler_fe7a000a_getStatus] - duration_serializer_1 1ms
INFO  2012-03-12 11:14:35,236 [uva.arrm_RequestHandler_fe7a000a_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:14:35,237 [uva.arrm_RequestHandler_fe7a000a_getStatus] - duration_processing 1ms
INFO  2012-03-12 11:14:35,237 [uva.arrm_RequestHandler_fe7a000a_getStatus] - duration_reply_settype 0ms
INFO  2012-03-12 11:14:35,240 [uva.arrm_RequestHandler_fe7a000a_getStatus] - duration_serializer_2 3ms
INFO  2012-03-12 11:14:35,240 [uva.arrm_RequestHandler_fe7a000a_getStatus] - duration_requestHandler 5ms
DEBUG 2012-03-12 11:14:35,251 [uva.arrm_RequestHandler_fe7a000b_getReservations] - start_requestHandler
INFO  2012-03-12 11:14:35,252 [uva.arrm_RequestHandler_fe7a000b_getReservations] - duration_serializer_1 1ms
INFO  2012-03-12 11:14:35,252 [uva.arrm_RequestHandler_fe7a000b_getReservations] - duration_validator 0ms
INFO  2012-03-12 11:14:35,253 [uva.arrm_RequestHandler_fe7a000b_getReservations] - duration_processing 1ms
INFO  2012-03-12 11:14:35,254 [uva.arrm_RequestHandler_fe7a000b_getReservations] - duration_reply_settype 1ms
INFO  2012-03-12 11:14:35,258 [uva.arrm_RequestHandler_fe7a000b_getReservations] - duration_serializer_2 4ms
INFO  2012-03-12 11:14:35,258 [uva.arrm_RequestHandler_fe7a000b_getReservations] - duration_requestHandler 7ms
DEBUG 2012-03-12 11:14:35,271 [uva.arrm_RequestHandler_fe7a000c_bind] - start_requestHandler
INFO  2012-03-12 11:14:35,273 [uva.arrm_RequestHandler_fe7a000c_bind] - duration_serializer_1 2ms
INFO  2012-03-12 11:14:35,273 [uva.arrm_RequestHandler_fe7a000c_bind] - duration_validator 0ms
DEBUG 2012-03-12 11:14:35,364 [uva.arrm_RequestHandler_fe7a000d_getDomains] - start_requestHandler
INFO  2012-03-12 11:14:35,366 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_serializer_1 2ms
INFO  2012-03-12 11:14:35,366 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_validator 0ms
INFO  2012-03-12 11:14:35,366 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_processing 0ms
INFO  2012-03-12 11:14:35,367 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_reply_settype 1ms
INFO  2012-03-12 11:14:35,369 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_serializer_2 2ms
INFO  2012-03-12 11:14:35,370 [uva.arrm_RequestHandler_fe7a000d_getDomains] - duration_requestHandler 5ms
DEBUG 2012-03-12 11:14:35,374 [uva.arrm_RequestHandler_fe7a000e_getEndpoints] - start_requestHandler
INFO  2012-03-12 11:14:35,379 [uva.arrm_RequestHandler_fe7a000e_getEndpoints] - duration_serializer_1 5ms
INFO  2012-03-12 11:14:35,379 [uva.arrm_RequestHandler_fe7a000e_getEndpoints] - duration_validator 0ms
INFO  2012-03-12 11:14:35,379 [uva.arrm_RequestHandler_fe7a000e_getEndpoints] - duration_processing 0ms
